decision_id,decision,review_text
45ZQVwa552DN,accepted,It is well worth reading
63GAFey791IB,accepted,A brilliantly researched piece of work
61ULVzk421ZZ,accepted,I recommend reading it
96JCBng673CA,accepted,It is well worth reading
32QQNdd132MS,accepted,A brilliantly researched piece of work
61YLYwt094OI,accepted,I was blown away by this paper
03DIKlo595CO,accepted,A brilliantly researched piece of work
75YWWgn948OR,accepted,I was blown away by this paper
63YYBkl493XW,accepted,A brilliantly researched piece of work
73EDLei566WK,rejected,Awful
14NXQvj899XU,rejected,I do not recommend reading it
80YJYdg376MW,accepted,It is well worth reading
94JOXvm892BR,accepted,Perfection
92XZWob413ZR,accepted,Perfection
20PRMbj904XI,accepted,It is well worth reading
38ASHuy925MI,accepted,Perfection
52COVun624NW,accepted,I recommend reading it
29PEKbv962NT,accepted,It is well worth reading
71WWYaq720JI,rejected,It was a waste of time
55KSAxd294UZ,accepted,I was blown away by this paper
01SGPht182SI,rejected,I do not recommend reading it
41BMMut614TH,accepted,It is well worth reading
08JJGwv549UB,accepted,It is well worth reading
48SOYai691CM,accepted,A brilliantly researched piece of work
51CDJta680KS,accepted,Perfection
48ZQKiz947WN,accepted,A brilliantly researched piece of work
67NKMnq246GO,accepted,Perfection
66VLBcl074DD,rejected,I do not recommend reading it
87IQHcg301LX,accepted,I recommend reading it
65XVMcz411LS,accepted,It is well worth reading
11PBGjm435KL,accepted,It is well worth reading
88KCWam665NT,accepted,Perfection
18LCNzc009GO,rejected,Awful
81TCNho885UG,accepted,I was blown away by this paper
87DMKdm483GK,accepted,It is well worth reading
83TGFen833UQ,rejected,Awful
41TCDkh467BS,accepted,I was blown away by this paper
41ZFAhc359FK,accepted,I was blown away by this paper
71OIHfs965DE,rejected,Awful
26SWLgo028AW,accepted,I was blown away by this paper
94BZBhm116AB,rejected,"The topic is dealt with superficially, I was expecting something more"
33ZDOui393BD,accepted,A brilliantly researched piece of work
36WPSvs876WX,accepted,I recommend reading it
46EPBlp463JY,accepted,I recommend reading it
30FFYog395PV,accepted,I recommend reading it
64KAZuz818BX,rejected,It was a waste of time
45SKFdc232UN,accepted,Perfection
37MKXsh316VL,accepted,It is well worth reading
88CEKub999GP,accepted,It is well worth reading
53FWJvw644ZU,rejected,I do not recommend reading it
62LMDwy003YZ,accepted,A brilliantly researched piece of work
98USJeb268XT,accepted,It is well worth reading
97SYVhe597EV,accepted,I recommend reading it
12RMQup664PI,accepted,I recommend reading it
58JXYij692KP,rejected,It was a waste of time
82CAGrm142CX,rejected,I do not recommend reading it
77MRQxb304FS,rejected,Awful
94VEMwj072BS,accepted,I was blown away by this paper
13JAYeu189CP,accepted,Perfection
82KBFgh992QV,rejected,I did not like it
71RXXni705IQ,accepted,I recommend reading it
50DNFso057GP,accepted,It is well worth reading
31LXJkw512LL,rejected,I do not recommend reading it
22JNCya095JB,accepted,I recommend reading it
18TXYtj478UC,accepted,Perfection
11KXVsg099FG,accepted,Perfection
77NTTaa511DQ,accepted,I recommend reading it
73PLIjy868HT,accepted,A brilliantly researched piece of work
18AGHhg047FZ,accepted,I recommend reading it
35KFRqh871WO,accepted,I was blown away by this paper
99ITTkd778KD,rejected,It was a waste of time
39DSPvl902TG,accepted,I recommend reading it
22RUFvf884QW,accepted,A brilliantly researched piece of work
82AQOkl957DG,accepted,Perfection
12GNBff733DW,rejected,Awful
41QRBgr404RK,accepted,I was blown away by this paper
55MVNqr898FR,accepted,I was blown away by this paper
65MUAon531MC,rejected,"The topic is dealt with superficially, I was expecting something more"
65OUCax718OY,accepted,Perfection
36JHQdw832ID,accepted,It is well worth reading
11ORVob150MD,accepted,I recommend reading it
41BAKwb264VL,accepted,Perfection
51SVGvo380XL,accepted,Perfection
78TYGlh967JR,accepted,Perfection
05YGUnp365UW,accepted,It is well worth reading
29QOHyl171FP,accepted,A brilliantly researched piece of work
85ZODnr804WE,accepted,Perfection
53BBZbo976LW,rejected,Awful
02XQIjg783DL,accepted,Perfection
61GDLnt491BK,accepted,I recommend reading it
04LQYie853AG,rejected,I do not recommend reading it
48EWKdg865VL,accepted,A brilliantly researched piece of work
48JBYnp039FV,accepted,It is well worth reading
96CSBkh866HA,accepted,I recommend reading it
14XPDzy764SU,accepted,I was blown away by this paper
72GMIfe931LL,accepted,A brilliantly researched piece of work
80OAHdx770AG,accepted,Perfection
77TTTzp950NY,accepted,A brilliantly researched piece of work
94AJRnw345TG,accepted,A brilliantly researched piece of work
80APTuf444YL,rejected,I do not recommend reading it
97DWNnr524QR,accepted,I was blown away by this paper
04FQKiq707XL,rejected,I did not like it
48CXCur638IK,accepted,It is well worth reading
64ABCzv630XE,accepted,I was blown away by this paper
07LTLhj698QA,accepted,I recommend reading it
29PCRoo088RK,accepted,A brilliantly researched piece of work
44WXPfd978WT,accepted,I was blown away by this paper
43AXQnw223LE,accepted,I was blown away by this paper
87FSCln305RH,rejected,I did not like it
90XXDpg663HS,accepted,I was blown away by this paper
52EALvt739QQ,accepted,I recommend reading it
29FPTma013BB,accepted,I recommend reading it
77GFHyc571UT,accepted,It is well worth reading
39OJLfl074XA,accepted,I was blown away by this paper
32UTRzi161ZN,accepted,Perfection
45QVCqi246OA,accepted,A brilliantly researched piece of work
63NKDke716LY,accepted,A brilliantly researched piece of work
06RWVem769VC,accepted,It is well worth reading
41SHDge133ZV,accepted,I recommend reading it
12CQQvn147ZT,accepted,I was blown away by this paper
14VBSoo305PQ,accepted,A brilliantly researched piece of work
78NEQxe258CD,accepted,Perfection
06JDUau253AZ,accepted,A brilliantly researched piece of work
52QBGzg348DD,accepted,I recommend reading it
33IESro686JB,accepted,It is well worth reading
82UXHwp146IK,accepted,I recommend reading it
20XRVlu137ZY,accepted,I was blown away by this paper
36HMJug408NT,accepted,It is well worth reading
97CYYoc580CR,accepted,Perfection
71KZTbl121NU,rejected,"The topic is dealt with superficially, I was expecting something more"
25XCJhd180TA,accepted,I was blown away by this paper
43ISNbe110IZ,accepted,I was blown away by this paper
18VEOuk073NF,rejected,It was a waste of time
04BRUvc328NB,rejected,"The topic is dealt with superficially, I was expecting something more"
81SBJhv506EG,rejected,I did not like it
23QYIar571KQ,accepted,Perfection
36ULGzr546FD,rejected,It was a waste of time
11IEDpy638LX,accepted,A brilliantly researched piece of work
49RGYgs122NL,accepted,It is well worth reading
51YHQpg682WF,accepted,I recommend reading it
57DGYoz843KP,accepted,It is well worth reading
96OMKon705SB,accepted,It is well worth reading
09CRIow726KZ,rejected,"The topic is dealt with superficially, I was expecting something more"
96OJMsm182FS,accepted,Perfection
69BEFgt510FZ,accepted,It is well worth reading
08SKXqw020PY,accepted,It is well worth reading
14OABye588ZB,rejected,Awful
59DKTce223OT,accepted,A brilliantly researched piece of work
57ZWYzf503MU,accepted,Perfection
74ULPpx238BG,accepted,A brilliantly researched piece of work
59NHYil760GK,accepted,It is well worth reading
97QRVov391WQ,rejected,I do not recommend reading it
59PLLrg414RY,accepted,I was blown away by this paper
37RGFmt212LP,accepted,I recommend reading it
28WLAvq625CP,accepted,I was blown away by this paper
65VSRfa582LT,accepted,Perfection
06ROLrh732RZ,rejected,I do not recommend reading it
20GBDho473RJ,accepted,Perfection
21YRCgv035JO,accepted,Perfection
97WQTai012SE,accepted,I was blown away by this paper
97TYDip549YF,accepted,I was blown away by this paper
77JHYav924VX,accepted,Perfection
50ZWKmc814VT,rejected,It was a waste of time
26BBJsw479TO,accepted,I was blown away by this paper
98AEKxj685VY,rejected,I do not recommend reading it
62ERYtc080UZ,accepted,Perfection
09WTGxv388YX,accepted,A brilliantly researched piece of work
59NAAxw418WC,accepted,I was blown away by this paper
23WAGyt045VS,accepted,It is well worth reading
39VMPgk458IF,accepted,A brilliantly researched piece of work
82YYVvj857AG,accepted,Perfection
37HSCie993GM,accepted,I was blown away by this paper
52SQAzs059XX,accepted,It is well worth reading
78EIYne590WR,accepted,It is well worth reading
32UQXwl544CA,rejected,I do not recommend reading it
69ZIBsd060CN,accepted,I recommend reading it
64JQZcc154WG,rejected,I do not recommend reading it
16WOTun738AB,accepted,I recommend reading it
16ZIFpt471ZI,accepted,I recommend reading it
32KKExr769PA,rejected,I did not like it
55DQNii393GI,accepted,A brilliantly researched piece of work
18UEFjz128NH,accepted,Perfection
49ICJck176VM,accepted,Perfection
91ENZmo026MC,accepted,A brilliantly researched piece of work
59GCDak276XW,accepted,It is well worth reading
51ZHMql794LF,accepted,I recommend reading it
19HWJcg533TW,accepted,I was blown away by this paper
28GGKiz184ZH,rejected,I did not like it
01KUTuk203DN,accepted,I was blown away by this paper
53JMVmx231RQ,rejected,I do not recommend reading it
51AKDco754TV,rejected,I did not like it
78FSUcg600YC,accepted,It is well worth reading
08ZFDib181FZ,accepted,Perfection
04NGNdi403IE,accepted,I was blown away by this paper
93HLZtm338KD,accepted,I recommend reading it
00SJQux865FC,accepted,I was blown away by this paper
04HASns002RS,accepted,A brilliantly researched piece of work
77TFMki880LV,accepted,A brilliantly researched piece of work
60QQXaj081SS,accepted,I was blown away by this paper
22IJDhd128TX,accepted,It is well worth reading
83CKFgt260TE,accepted,It is well worth reading
24VHGtm611XF,accepted,A brilliantly researched piece of work
04JOXkn500GP,accepted,I was blown away by this paper
25SCSji475PR,accepted,It is well worth reading
49XDFvl331TD,accepted,It is well worth reading
47FGEhr268EZ,accepted,It is well worth reading
52WQWrz869BZ,accepted,A brilliantly researched piece of work
45FPTyg431ZD,accepted,It is well worth reading
82IKGfs303WI,accepted,A brilliantly researched piece of work
41APNgc495KR,accepted,A brilliantly researched piece of work
31VXKjc401CQ,rejected,I did not like it
68TBNqg526JM,accepted,Perfection
74NXMqt636YL,accepted,I recommend reading it
50EIHod460KN,accepted,Perfection
37OHKgk979RS,accepted,Perfection
68MSJkd264PE,rejected,"The topic is dealt with superficially, I was expecting something more"
19FBVhx967OK,accepted,A brilliantly researched piece of work
80WBRre882UD,rejected,"The topic is dealt with superficially, I was expecting something more"
99TXSjy742VJ,rejected,I did not like it
74JSWku259ME,accepted,I recommend reading it
05GLBvh765GG,accepted,I recommend reading it
39HXEno820ZQ,rejected,Awful
52VZXud952OF,accepted,Perfection
78MHElv331RE,accepted,I was blown away by this paper
37YOMxu114SC,accepted,I was blown away by this paper
05PGOxq060QI,rejected,Awful
75QSUbm245DN,accepted,I recommend reading it
90XAYhq473LB,rejected,"The topic is dealt with superficially, I was expecting something more"
16OFWfg565QC,rejected,It was a waste of time
07OPLvu438KA,rejected,"The topic is dealt with superficially, I was expecting something more"
93UAMtz939NV,accepted,A brilliantly researched piece of work
33HSAlr325ND,rejected,It was a waste of time
84RPTrg168JO,accepted,A brilliantly researched piece of work
02SPFec405FV,accepted,I recommend reading it
39DATdh759FG,rejected,I did not like it
46NSMud684ZI,rejected,I did not like it
15KFSnd383MR,rejected,Awful
48HUPch449EQ,accepted,A brilliantly researched piece of work
87OBPhu227PH,accepted,Perfection
77XQEhi008OA,rejected,Awful
53CAXml235PW,rejected,"The topic is dealt with superficially, I was expecting something more"
82MVNoi144TL,accepted,Perfection
95DNEqw176QP,accepted,Perfection
82YVNig397GM,accepted,Perfection
46ACYae090HE,rejected,I did not like it
86QJXyj500DJ,accepted,Perfection
94USNrn411ZU,rejected,I did not like it
70DDXzo257RO,accepted,A brilliantly researched piece of work
31OKBtz845SR,accepted,I was blown away by this paper
90YEIen957IG,accepted,Perfection
64NDHtt772CK,accepted,I was blown away by this paper
60MYMpw275QG,accepted,I recommend reading it
53AKTxj732HV,rejected,It was a waste of time
09MWZtm081YF,rejected,"The topic is dealt with superficially, I was expecting something more"
40LVRox573AV,rejected,I did not like it
31WEPgr945WA,accepted,It is well worth reading
94JXFlj415ZS,accepted,I was blown away by this paper
10JIUdk757CW,rejected,"The topic is dealt with superficially, I was expecting something more"
89PUYqv646MZ,accepted,A brilliantly researched piece of work
01OGBsm445FH,accepted,Perfection
88SJLbv448UM,rejected,It was a waste of time
50SBGli628FX,rejected,"The topic is dealt with superficially, I was expecting something more"
79AVYnt169FH,accepted,I was blown away by this paper
10FSVmv524HM,accepted,Perfection
09SCFso638VQ,accepted,I was blown away by this paper
93MZOio025FH,accepted,I recommend reading it
12UCBkh306CF,accepted,I was blown away by this paper
78MKMrj371GK,rejected,"The topic is dealt with superficially, I was expecting something more"
99IYEmp219BS,accepted,It is well worth reading
81VUJcl805LM,accepted,It is well worth reading
57OJOpr339YU,accepted,It is well worth reading
29GJNqn529HK,accepted,Perfection
32BZOwr415CQ,accepted,I was blown away by this paper
12PPDui480RC,rejected,It was a waste of time
63AXBvw677MS,accepted,It is well worth reading
74KXGgf410NW,rejected,I did not like it
02SHRkn404HA,accepted,I recommend reading it
76FLJur299BN,accepted,I was blown away by this paper
52UDGbi210LG,rejected,I do not recommend reading it
78JIOly966JK,accepted,I was blown away by this paper
78LQWkx684PF,rejected,"The topic is dealt with superficially, I was expecting something more"
13KWQqk567NX,accepted,I recommend reading it
33EDQom104VZ,accepted,Perfection
11KQIsl809KR,accepted,Perfection
47WAJiz329KR,rejected,"The topic is dealt with superficially, I was expecting something more"
67KLLqr009WV,accepted,I recommend reading it
42PJSri592LJ,accepted,I was blown away by this paper
77LXNbf107NL,rejected,I did not like it
89BFLgo580UD,accepted,A brilliantly researched piece of work
08UEJsg848RA,accepted,Perfection
72DUXoe761KV,accepted,I recommend reading it
65IRCza035QC,accepted,I was blown away by this paper
07BRPyw010IU,accepted,I was blown away by this paper
30NGJae546AT,accepted,It is well worth reading
37IRCnf950ZA,rejected,"The topic is dealt with superficially, I was expecting something more"
69XMAwr246SJ,accepted,Perfection
29KICcb535VL,accepted,A brilliantly researched piece of work
87UPQne481DB,accepted,Perfection
77DCOzw971OW,accepted,A brilliantly researched piece of work
54FVEmu625PB,rejected,"The topic is dealt with superficially, I was expecting something more"
85KXXgo649VG,accepted,Perfection
85FKMmf260CR,accepted,I was blown away by this paper
51DUBpw233CY,accepted,A brilliantly researched piece of work
91JWPja660RH,accepted,Perfection
18VVFgp973TM,accepted,It is well worth reading
40VPNll917YH,accepted,I recommend reading it
03MLOsr958CN,accepted,It is well worth reading
90SPYqo244LV,accepted,A brilliantly researched piece of work
13BBUyt680QT,accepted,Perfection
92UOErx656YN,accepted,It is well worth reading
98TWJrb070PE,rejected,I do not recommend reading it
44BTHwu799UP,accepted,I was blown away by this paper
43KPZwv071LS,rejected,"The topic is dealt with superficially, I was expecting something more"
27RPPcb417CM,rejected,It was a waste of time
06OOQoq426TK,accepted,Perfection
00FEGjl477TW,rejected,Awful
85TMZxv532WZ,accepted,A brilliantly researched piece of work
44MJZzi611EB,accepted,A brilliantly researched piece of work
45PJNow377WM,rejected,Awful
54WYJvt131AS,rejected,I did not like it
31VWRng326GX,accepted,It is well worth reading
25CEPml163XM,rejected,I did not like it
01DVErb877XP,accepted,I recommend reading it
13YTApg197PU,accepted,It is well worth reading
41IBHcf165BU,rejected,Awful
20SKRct336MN,accepted,I recommend reading it
31UGPkd269GR,accepted,I recommend reading it
07AVSjr471MK,accepted,A brilliantly researched piece of work
60EROoj685XF,accepted,I recommend reading it
56FNGax195BF,accepted,A brilliantly researched piece of work
57SYFyk895EJ,rejected,Awful
24IVKaa412ZR,rejected,"The topic is dealt with superficially, I was expecting something more"
78DZPna472FF,accepted,I was blown away by this paper
94AWMop785HG,rejected,"The topic is dealt with superficially, I was expecting something more"
64PTAct020IW,rejected,"The topic is dealt with superficially, I was expecting something more"
55JONmw026CL,accepted,I was blown away by this paper
57TQJkx368MU,accepted,Perfection
93SHYgr992WI,rejected,"The topic is dealt with superficially, I was expecting something more"
14NSSxf293KO,rejected,Awful
50SALqp860PP,accepted,A brilliantly researched piece of work
94OGOyw751WG,accepted,I recommend reading it
81WMCrm423UO,accepted,I recommend reading it
95IGAkv187DG,rejected,I do not recommend reading it
43EKAkb571BN,accepted,I was blown away by this paper
49XYGet110GX,accepted,It is well worth reading
12CFDin754AV,accepted,It is well worth reading
66UWZwm987ZL,rejected,I did not like it
45ALEzp347HK,accepted,I recommend reading it
43EFYua914IU,accepted,It is well worth reading
00PKHcc564RW,accepted,I was blown away by this paper
05ZUJri853JP,accepted,I recommend reading it
44OHVpf552LC,accepted,Perfection
90XEYmt150MI,accepted,It is well worth reading
80RYGjm806IC,rejected,I do not recommend reading it
99NDBmr400MZ,accepted,A brilliantly researched piece of work
95ZFKfw574NF,accepted,I was blown away by this paper
87SVZue543QI,accepted,Perfection
07WRYvc911YN,accepted,A brilliantly researched piece of work
69CSLst160NA,rejected,"The topic is dealt with superficially, I was expecting something more"
88LABiq708YU,accepted,A brilliantly researched piece of work
19YWPsp157LQ,accepted,Perfection
77ENCtj035MN,accepted,A brilliantly researched piece of work
28EBQvi828TY,accepted,I recommend reading it
68SCKgz759TQ,accepted,Perfection
47TCGnr941UA,rejected,It was a waste of time
04RFUao599OE,accepted,I recommend reading it
87WFMad507NJ,accepted,I recommend reading it
75FMXnh989DQ,accepted,I was blown away by this paper
48ZOCme061OZ,accepted,Perfection
33DOWwi337TG,accepted,I was blown away by this paper
65DESbr559RG,accepted,I was blown away by this paper
66AIUwu208GO,accepted,I was blown away by this paper
99IJBsf688EQ,accepted,It is well worth reading
68JMSnr787DE,accepted,I recommend reading it
17ZPDvm266YC,accepted,A brilliantly researched piece of work
61ZZFlt680IU,accepted,It is well worth reading
08ZPWpw988CP,accepted,It is well worth reading
23AXNvc029CJ,rejected,It was a waste of time
90AFPoq353GP,rejected,Awful
03FNSyv016SZ,rejected,I did not like it
79RMBli346TU,accepted,It is well worth reading
99PVLds658XR,accepted,It is well worth reading
63CVAbp699VL,accepted,A brilliantly researched piece of work
91GKUpt845WP,accepted,Perfection
27KXTyt916ZV,accepted,A brilliantly researched piece of work
40WHMgt772OD,rejected,I did not like it
43VZUqc190IK,accepted,A brilliantly researched piece of work
37IGKvb925SD,accepted,Perfection
49DHTgk254GT,rejected,It was a waste of time
41XEQot538GA,rejected,Awful
68RWEmd827VW,accepted,Perfection
57AWLpo802VM,accepted,Perfection
33ABYjo072BQ,rejected,It was a waste of time
81UFSet276VR,accepted,A brilliantly researched piece of work
22BCQwv110GJ,accepted,A brilliantly researched piece of work
62APHph741ZS,accepted,I recommend reading it
24RCJid799XL,rejected,I did not like it
80JDTnh781TD,rejected,It was a waste of time
37YHXtp020WB,accepted,Perfection
61MKQbz222BV,rejected,I did not like it
46EYRqd840SD,accepted,It is well worth reading
36ZSTlj898IS,accepted,Perfection
30QLPlx622MM,accepted,I was blown away by this paper
72PXQqk980QT,rejected,It was a waste of time
94RRZmn991UV,accepted,A brilliantly researched piece of work
95SQEzc161QT,rejected,I do not recommend reading it
27SKVyd802NZ,accepted,It is well worth reading
37OEWxg455HX,accepted,I was blown away by this paper
83TZKat958ZZ,accepted,It is well worth reading
08IWPmc981WQ,accepted,Perfection
18SGLqk865TC,accepted,I recommend reading it
57IGRsr404CP,accepted,Perfection
11FJFkc201MZ,accepted,I was blown away by this paper
96IUWqd342YC,accepted,A brilliantly researched piece of work
94DUHtm418DX,accepted,It is well worth reading
11XEFus816WM,accepted,A brilliantly researched piece of work
13PJVmb530HZ,rejected,I did not like it
73RDLlt670FQ,accepted,It is well worth reading
27RKDna139HD,accepted,I was blown away by this paper
63ZOGjo372RF,rejected,I did not like it
39YPKtl763VU,accepted,A brilliantly researched piece of work
43EBDxb112NU,accepted,It is well worth reading
70NUTen769MX,accepted,I was blown away by this paper
96NGHwz245MP,accepted,I recommend reading it
43CBBdd956QF,accepted,I recommend reading it
10SEWjm844NH,accepted,Perfection
40YVZlm076WU,accepted,Perfection
21IPGmz799ZI,accepted,Perfection
23AIJvq785TF,accepted,It is well worth reading
01SINvj333VM,accepted,It is well worth reading
89VVBrb427TC,accepted,Perfection
33WUIyt704MF,accepted,A brilliantly researched piece of work
90NJWjd386TL,accepted,It is well worth reading
24JYTzd339DJ,rejected,It was a waste of time
06OZBzk451ZU,accepted,I recommend reading it
07HTSqa928TE,rejected,Awful
29QIOjj754YB,accepted,A brilliantly researched piece of work
18GPOye890LH,accepted,Perfection
07JQPsu948EB,accepted,A brilliantly researched piece of work
65BIVsa345RK,accepted,A brilliantly researched piece of work
63ZNTen872OJ,rejected,"The topic is dealt with superficially, I was expecting something more"
34IYTik862FN,rejected,I do not recommend reading it
68KTQuj549ZY,rejected,I did not like it
72FSKar716GR,accepted,A brilliantly researched piece of work
45EAUzy618KX,accepted,Perfection
83KGKca504JC,accepted,A brilliantly researched piece of work
96MVGvz187GR,accepted,I was blown away by this paper
94TNIuq349IM,accepted,I recommend reading it
53DBDro320OD,accepted,I recommend reading it
99VUSxx984KX,accepted,I was blown away by this paper
77IGLai629GD,accepted,It is well worth reading
45RMOct184EB,rejected,It was a waste of time
82YSZxz671KD,accepted,A brilliantly researched piece of work
23TITqt717RO,accepted,I was blown away by this paper
60NOXas284JU,accepted,It is well worth reading
24DMVmc760GY,rejected,Awful
64GNHbg721AT,rejected,Awful
25OEJgu597MP,accepted,It is well worth reading
67RMGzo983BX,accepted,I was blown away by this paper
12QNWqm516OM,accepted,It is well worth reading
07ISIzo510NL,accepted,I was blown away by this paper
54MPYgy416DK,accepted,A brilliantly researched piece of work
87BAZbe908SF,accepted,Perfection
